pair_id,verb,sentence1,sentence2,zscore,order,block,surp1,surp2,pair_type
find2,find,The bee found the flower.,The court found the liability.,0.4275721023401325,4,calibration,137.0582,155.75291,different
line1,line,The tailor lined the coat.,The insulation lined the attic.,-0.3555827566654691,8,calibration,121.266846,207.85396,same
discharge2,discharge,The hospital discharged the patient.,The bank discharged the loan.,0.6942400426384807,12,calibration,133.34384,107.28486,different
throw1,throw,The athlete threw the javelin.,The referee threw the flag.,-0.5280450641234967,13,calibration,144.4099,123.08669,same
butcher2,butcher,The farmer butchered the goat.,The consultant butchered the project.,1.015616345042543,23,calibration,104.07489,156.29765,different
scratch1,scratch,The dog scratched the itch.,The patient scratched the rash.,-1.1606476520434397,29,calibration,130.89398,118.871765,same
permit2,permit,The college permitted the event.,The weather permitted the picnic.,0.070576997378487,0,experiment,182.54338,130.94011,different
design2,design,The architect designed the building.,The strategist designed the message.,-0.0235653199713454,1,experiment,120.14762,145.25125,different
dismiss1,dismiss,The company dismissed the worker.,The teacher dismissed the class.,-0.0392631213627435,2,experiment,104.98831,82.07217,same
recognize2,recognize,The botanist recognized the mushroom.,The king recognized the bravery.,0.2708329947021051,3,experiment,149.47905,102.71776,different
split1,split,The couple split the check.,The friends split the pizza.,-0.2586931380288964,5,experiment,112.270256,107.4585,same
secure1,secure,The guards secured the location.,The lock secured the safe.,-0.2711970705429248,6,experiment,114.787636,134.52312,same
clip2,clip,The gardener clipped the hedge.,The editor clipped the movie.,0.4978484648322109,7,experiment,103.715225,136.7357,different
arrange2,arrange,The baby arranged the blocks.,The secretary arranged the meeting.,0.6363291171722801,9,experiment,138.54607,139.21999,different
smash1,smash,The cook smashed the potatoes.,The shoe smashed the bug.,-0.4726059843622255,10,experiment,127.91714,125.70793,same
discover2,discover,The scientist discovered the cure.,The wife discovered the affair.,-0.4746187034786407,11,experiment,140.90544,110.470856,different
poison2,poison,The assassin poisoned the prince.,The insult poisoned the relationship.,0.7993010622064706,14,experiment,159.06877,88.00299,different
carry1,carry,The assistant carried the purse.,The truck carried the goods.,-0.6221552448102675,15,experiment,193.44244,146.11374,same
shrink2,shrink,The washer shrunk the laundry.,The failure shrunk the ego.,0.8260063546403796,16,experiment,104.64534,125.285324,different
mount2,mount,The rider mounted the horse.,The opponent mounted the defense.,0.8855098795880985,17,experiment,111.018745,122.67132,different
mock2,mock,The comedian mocked the politician.,The plastic mocked the marble.,0.9440890091374088,18,experiment,179.37573,117.23128,different
order1,order,The diner ordered the wine.,The shopper ordered the shoes.,-0.8036244319588041,19,experiment,119.78488,126.15572,same
drive1,drive,The chauffeur drove the limo.,The babysitter drove the kids.,-0.8038346821663931,20,experiment,133.0273,99.337105,same
drain2,drain,The housekeeper drained the tub.,The work drained the student.,1.0030644816360266,21,experiment,78.87939,145.42487,different
slam1,slam,The child slammed the door.,The lawyer slammed the table.,-0.8109848877386387,22,experiment,134.06065,103.91704,same
steal2,steal,The thief stole the painting.,The dancer stole the show.,1.0353181912890153,24,experiment,90.44414,96.17802,different
notice1,notice,The stylist noticed the wrinkle.,The inspector noticed the footprints.,-0.8858405335700968,25,experiment,148.17795,101.00234,same
bump1,bump,The car bumped the curb.,The chair bumped the desk.,-0.8892372496698934,26,experiment,116.06814,134.90422,same
bounce2,bounce,The player bounced the ball.,The bank bounced the check.,1.1383780306052178,27,experiment,129.70572,89.58304,different
deliver1,deliver,The mailman delivered the package.,The visitor delivered the gift.,-1.1197686081278042,28,experiment,109.927055,108.44644,same
