verb,sentence,zscore,order,block,id
drove,The chef drove the limo.,0.0800743039148588,3,calibration,typ_calib_3
arranged,The baby arranged the blocks.,1.0959874932190372,4,calibration,typ_calib_4
bumped,The car bumped the curb.,1.4040711041851863,13,calibration,typ_calib_13
recognized,The flashlight recognized the mushroom.,-0.5020269951529766,20,calibration,typ_calib_20
mounted,The rider mounted the pen.,-0.5541902468978497,30,calibration,typ_calib_30
scratched,The dog scratched the itch.,1.544327142861717,32,calibration,typ_calib_32
tore,The kid tore the paper.,1.566711460906906,37,calibration,typ_calib_37
split,The cow split the check.,-0.6396899897265492,48,calibration,typ_calib_48
poisoned,The friend poisoned the king.,0.6671922383009935,0,experiment,typ_calib_0
discovered,The scientist discovered the wall.,0.2869340476305616,1,experiment,typ_calib_1
secured,The guards secured the spider.,0.0873492872562602,2,experiment,typ_calib_2
designed,The architect designed the anything.,-0.1954834343077059,5,experiment,typ_calib_5
ordered,The diner ordered the wine.,1.195124392156678,6,experiment,typ_calib_6
stole,The thief stole the problem.,-0.2393654376329232,7,experiment,typ_calib_7
shrunk,The washer shrunk the laundry.,1.3664924364476156,8,experiment,typ_calib_8
bumped,The car bumped the chandelier.,-0.4218293708881777,9,experiment,typ_calib_9
threw,The athlete threw the javelin.,1.394570007347721,10,experiment,typ_calib_10
ordered,The diner ordered the expensive.,-0.4248497732937729,11,experiment,typ_calib_11
drove,The chef drove the carefully.,-0.4298689104994022,12,experiment,typ_calib_12
slammed,The angrily slammed the door.,-0.4377846474479413,14,experiment,typ_calib_14
noticed,The stylist noticed the wrinkle.,1.4395155028638909,15,experiment,typ_calib_15
butchered,The farmer butchered the goat.,1.4483835794056648,16,experiment,typ_calib_16
carried,The assistant carried the purse.,1.4551435553965746,17,experiment,typ_calib_17
shrunk,The washer shrunk the mouse.,-0.4853878522024675,18,experiment,typ_calib_18
recognized,The botanist recognized the mushroom.,1.45783221425153,19,experiment,typ_calib_19
poisoned,The assassin poisoned the king.,1.4849524001937924,21,experiment,typ_calib_21
permitted,The cup permitted the event.,-0.5152221770986507,22,experiment,typ_calib_22
delivered,The they delivered the package.,-0.5179479122752266,23,experiment,typ_calib_23
dismissed,The company dismissed the less.,-0.5350310868016048,24,experiment,typ_calib_24
split,The couple split the check.,1.511371359389707,25,experiment,typ_calib_25
secured,The we secured the spider.,-0.5424292797442131,26,experiment,typ_calib_26
slammed,The child slammed the door.,1.5151798793801383,27,experiment,typ_calib_27
permitted,The college permitted the event.,1.5210533061548237,28,experiment,typ_calib_28
tore,The kid tore the brick.,-0.5514607466981701,29,experiment,typ_calib_29
lined,The butterfly lined the coat.,-0.5601113950338591,31,experiment,typ_calib_31
butchered,The lawyer butchered the it.,-0.5814043388317538,33,experiment,typ_calib_33
clipped,The gardener clipped the hedge.,1.5536589379316934,34,experiment,typ_calib_34
found,The spoon found the nothing.,-0.5844884496985766,35,experiment,typ_calib_35
bounced,The player bounced the ball.,1.5649441775859916,36,experiment,typ_calib_36
mocked,The comedian mocked the for.,-0.6069728288501861,38,experiment,typ_calib_38
scratched,The dog scratched the war.,-0.6093418248293282,39,experiment,typ_calib_39
mounted,The rider mounted the horse.,1.584078784530722,40,experiment,typ_calib_40
threw,The athlete threw the while.,-0.6147049571377231,41,experiment,typ_calib_41
lined,The tailor lined the coat.,1.5855961092144746,42,experiment,typ_calib_42
smashed,The strawberry smashed the potatoes.,-0.6208228847266712,43,experiment,typ_calib_43
discovered,The scientist discovered the cure.,1.598978288517066,44,experiment,typ_calib_44
carried,The assistant carried the plane.,-0.6331477024511392,45,experiment,typ_calib_45
drained,The housekeeper drained the tub.,1.6069243191304503,46,experiment,typ_calib_46
found,The bee found the flower.,1.607238841537653,47,experiment,typ_calib_47
discharged,The hospital discharged the patient.,1.6145284328372076,49,experiment,typ_calib_49
